م,الرمز,اسم النظام / الأداة,النوع,المجال,الطبيعة,النظام الأم,عدد المواد,تاريخ الإصدار (هـ),ما يوافقه (م),سنة الإصدار (هـ),مصدر التاريخ,رابط المصدر الرسمي
1,CIV-001,نظام المعاملات المدنية,نظام,المعاملات المدنية,موضوعي/تنظيمي,,721,29/11/1444هـ,2023-06-18,1444.0,بوابة وزارة العدل (تحقق رسمي),https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg
2,COM-001,النظام التجاري ( نظام المحكمة التجارية),نظام,التجاري والشركات,موضوعي/تنظيمي,,629,,,,غير متوفر في القاعدة,
3,COM-002,النظام البحري التجاري,نظام,التجاري والشركات,موضوعي/تنظيمي,,391,,,,غير متوفر في القاعدة,
4,CMP-001,نظام الشركات,نظام,الشركات,موضوعي/تنظيمي,,281,,,,غير متوفر في القاعدة,
5,JUD-001,نظام تركيز مسؤوليات القضاء الشرعي,نظام,القضاء والنيابة,قضائي تنظيمي,,258,,,,غير متوفر في القاعدة,
6,PST-001,نظام الأحوال الشخصية,نظام,الأحوال الشخصية,موضوعي/تنظيمي,,252,6/8/1443هـ,2022-03-09,1443.0,بوابة وزارة العدل (تحقق رسمي),https://laws.moj.gov.sa/ar/legislation/xt6PShke0baUTC0OdfS9AQ
7,LAB-001,نظام العمل,نظام,العمل والتأمينات,موضوعي/تنظيمي,,248,,,,غير متوفر في القاعدة,
8,PRC-001,نظام المرافعات الشرعية,نظام,المرافعات والإجراءات,إجرائي,,242,22/1/1435هـ,2013-11-25,1435.0,بوابة وزارة العدل (تحقق رسمي),https://laws.moj.gov.sa/ar/legislation/sSe-gyvwrajdndY5P08WZg
9,CMP-002,نظام الإفلاس,نظام,الشركات,موضوعي/تنظيمي,,231,28/5/1439هـ,2018-02-14,1439.0,بوابة وزارة العدل (تحقق رسمي),https://laws.moj.gov.sa/ar/legislation/-FF20eK5iu1hvvKJe5GZVQ
10,PRC-002,نظام الإجراءات الجزائية,نظام,المرافعات والإجراءات,إجرائي,,222,22/1/1435هـ,2013-11-25,1435.0,بوابة وزارة العدل (تحقق رسمي),https://laws.moj.gov.sa/ar/legislation/BdFRJFma6kPhQqhIh2f7eQ
11,ENF-001,اللائحة التنفيذية لنظام الإجراءات الجزائية,لائحة,المرافعات والإجراءات,إجرائي,نظام الإجراءات الجزائية,181,,,,غير متوفر في القاعدة,
12,REG-001,نظام الطيران المدني,نظام,تنظيمي قطاعي,موضوعي/تنظيمي,,180,,,,غير متوفر في القاعدة,
13,REG-002,نظام (قانون) الجمارك الموحد لدول مجلس التعاون لدول الخليج العربية,نظام,تنظيمي قطاعي,موضوعي/تنظيمي,,179,,,,غير متوفر في القاعدة,
14,LAB-002,نظام خدمة الضباط,نظام,العمل والتأمينات,موضوعي/تنظيمي,,161,,,,غير متوفر في القاعدة,
15,REG-003,نظام الطرق والمباني,نظام,تنظيمي قطاعي,موضوعي/تنظيمي,,160,,,,غير متوفر في القاعدة,
16,ADM-001,تنظيم هيئات تطوير المناطق والمدن واللائحة المالية لهيئات تطوير المناطق والمدن واللائحة الإدارية لهيئات تطوير المناطق والمدن,تنظيم,الإداري والحوكمة العامة,موضوعي/تنظيمي,,139,,,,غير متوفر في القاعدة,
17,EVD-001,نظام الإثبات,نظام,الإثبات,إجرائي,,129,26/5/1443هـ,2021-12-30,1443.0,بوابة وزارة العدل (تحقق رسمي),https://laws.moj.gov.sa/ar/legislation/UbB0wpvasVhoTAgmYKUA7A
18,COM-003,نظام الأوراق التجارية,نظام,التجاري والشركات,موضوعي/تنظيمي,,121,,,,غير متوفر في القاعدة,
19,ADM-002,نظام المنافسات و المشتريات الحكومية,نظام,الإداري والحوكمة العامة,موضوعي/تنظيمي,,99,,,,غير متوفر في القاعدة,
20,ENF-002,نظام التنفيذ,نظام,التنفيذ,إجرائي,,98,,,,غير متوفر في القاعدة,
21,ENF-003,اللائحة التنفيذية لنظام الإفلاس,لائحة,الشركات,موضوعي/تنظيمي,نظام الإفلاس,98,,,,غير متوفر في القاعدة,
22,COM-004,نظام المحاكم التجارية,نظام,التجاري والشركات,إجرائي,,96,15/8/1441هـ,2020-04-08,1441.0,بوابة وزارة العدل (تحقق رسمي),https://laws.moj.gov.sa/ar/legislation/5-3nY9odCRxj7FPBTXJG0Q
23,REG-004,نظام الأحوال المدنية,نظام,تنظيمي قطاعي,موضوعي/تنظيمي,,96,,,,غير متوفر في القاعدة,
24,CRM-001,نظام مكافحة جرائم الإرهاب وتمويله,نظام,الجزائي والعقوبات,موضوعي/تنظيمي,,96,,,,غير متوفر في القاعدة,
25,REG-005,نظام الآثار والمتاحف والتراث العمراني,نظام,تنظيمي قطاعي,موضوعي/تنظيمي,,94,,,,غير متوفر في القاعدة,
26,REG-006,نظام المرور,نظام,تنظيمي قطاعي,موضوعي/تنظيمي,,85,,,,غير متوفر في القاعدة,
27,JUD-002,نظام القضاء,نظام,القضاء والنيابة,قضائي تنظيمي,,85,,,,غير متوفر في القاعدة,
28,ADM-003,النظام الأساسي للحكم,نظام,الإداري والحوكمة العامة,موضوعي/تنظيمي,,83,,,,غير متوفر في القاعدة,
29,FIN-001,نظام ضريبة الدخل,نظام,المالية والضرائب والبنوك,موضوعي/تنظيمي,,81,,,,غير متوفر في القاعدة,
30,ADM-004,نظام المنافسات والمشتريات الحكومية,نظام,الإداري والحوكمة العامة,موضوعي/تنظيمي,,81,,,,غير متوفر في القاعدة,
31,RES-001,نظام التسجيل العيني للعقار 1423هـ,نظام,العقار والتسجيل العيني,موضوعي/تنظيمي,,78,,,1423.0,سنة واردة في اسم النظام,
32,REG-007,نظام المياه,نظام,تنظيمي قطاعي,موضوعي/تنظيمي,,77,,,,غير متوفر في القاعدة,
