system_name,articles_in_index,max_article_number,gap_count,gap_sample,duplicate_numbers,duplicate_text_groups,late_appended_articles,status,issues
نظام المرافعات أمام ديوان المظالم,63,63,0,,,14+50,1|2|3|4|5|6|7|8|9|10,بها ملحوظات,نصوص مكررة:1؛ صفوف مُلحقة لاحقًا:15
نظام مكافحة غسل الأموال,54,54,0,,,5+6|7+8|9+10,33|34|35|36|37|38|39|40|41|42,بها ملحوظات,نصوص مكررة:3؛ صفوف مُلحقة لاحقًا:22
نظام المعاملات المدنية,721,721,0,,,720+721,721,بها ملحوظات,نصوص مكررة:1؛ صفوف مُلحقة لاحقًا:1
تنظيم إعانة البحث عن عمل,13,14041,14028,4|14|15|16|17|18|19|20|21|22,,,,بها ملحوظات,فجوات:14028؛ رقم مادة شاذ:14041
نظام صندوق الاستثمارات العامة,32,32,0,,,,1|2|3|4|5|6|7|8|9|10,بها ملحوظات,صفوف مُلحقة لاحقًا:10
نظام الرهن التجاري,47,47,0,,,,28|29|30|31|32|33|34|35|36|37,بها ملحوظات,صفوف مُلحقة لاحقًا:20
نظام المحاكم التجارية,96,96,0,,,,95|96,بها ملحوظات,صفوف مُلحقة لاحقًا:2
نظام المنافسة,28,28,0,,,,22|23|24|25|26|27|28,بها ملحوظات,صفوف مُلحقة لاحقًا:7
نظام الشركات المهنية,29,29,0,,,,26|27|28|29,بها ملحوظات,صفوف مُلحقة لاحقًا:4
نظام الشركات,281,281,0,,,155+219,,بها ملحوظات,نصوص مكررة:1
نظام الإفلاس,231,231,0,,,29+74,,بها ملحوظات,نصوص مكررة:1
نظام الميداليات المدنية والعسكرية,25,25,0,,,12+24|15+21,,بها ملحوظات,نصوص مكررة:2
نظام خدمة الأفراد,73,76,3,71|72|73,,,,بها ملحوظات,فجوات:3
النظام التجاري ( نظام المحكمة التجارية),629,633,4,467|473|483|544,,,,بها ملحوظات,فجوات:4
نظام الخدمة المدنية,36,40,4,16|22|28|31,,,,بها ملحوظات,فجوات:4
نظام الأحوال الشخصية,252,252,0,,,,,سليم ظاهريًا,
نظام الإجراءات الجزائية,222,222,0,,,,,سليم ظاهريًا,
نظام التنفيذ,98,98,0,,,,,سليم ظاهريًا,
نظام التوثيق,57,57,0,,,,,سليم ظاهريًا,
نظام المرافعات الشرعية,242,242,0,,,,,سليم ظاهريًا,
النظام الأساسي للحكم,83,83,0,,,,,سليم ظاهريًا,
نظام مجلس الشورى,30,30,0,,,,,سليم ظاهريًا,
نظام مجلس الوزراء,32,32,0,,,,,سليم ظاهريًا,
نظام المناطق,42,42,0,,,,,سليم ظاهريًا,
نظام هيئة البيعة,25,25,0,,,,,سليم ظاهريًا,
نظام الإذاعة الأساسي,12,12,0,,,,,سليم ظاهريًا,
نظام دارة الملك عبد العزيز,17,17,0,,,,,سليم ظاهريًا,
نظام الوثائق والمحفوظات,11,11,0,,,,,سليم ظاهريًا,
