layer,storage_role,system_name,stored_article_number,stored_title_or_citation,number_parsed_from_title,issue_type,severity,recommended_action
legal_articles_export.json,Seed,نظام المرافعات أمام ديوان المظالم,12,المادة الثلاثون,30,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 12
legal_articles_export.json,Seed,نظام المرافعات أمام ديوان المظالم,13,المادة الأربعون,40,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 13
legal_articles_export.json,Seed,نظام المرافعات أمام ديوان المظالم,14,المادة الخمسون,50,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 14
legal_articles_export.json,Seed,نظام المرافعات أمام ديوان المظالم,15,المادة الستون,60,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 15
legal_articles_export.json,Seed,نظام المعاملات المدنية,24,المادة الرابعة والعشرون تسري على المال العام النصوص النظامية,,عنوان غير قابل للتحليل (نصّ مُدمَج في العنوان),متوسطة,فصل النص عن العنوان يدويًا
legal_articles_export.json,Seed,نظام المعاملات المدنية,237,المادة الثامنة والثلاثون بعد المائتين,238,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 237
legal_articles_export.json,Seed,نظام المعاملات المدنية,238,المادة التاسعة والثلاثون بعد المائتين,239,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 238
legal_articles_export.json,Seed,نظام المعاملات المدنية,239,المادة الأربعون بعد المائتين,240,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 239
legal_articles_export.json,Seed,نظام المعاملات المدنية,240,المادة الحادية والأربعون بعد المائتين,241,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 240
legal_articles_export.json,Seed,نظام المعاملات المدنية,241,المادة الثانية والأربعون بعد المائتين,242,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 241
legal_articles_export.json,Seed,نظام المعاملات المدنية,242,المادة الثالثة والأربعون بعد المائتين,243,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 242
legal_articles_export.json,Seed,نظام المعاملات المدنية,243,المادة الرابعة والأربعون بعد المائتين,244,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 243
legal_articles_export.json,Seed,نظام المعاملات المدنية,244,المادة الخامسة والأربعون بعد المائتين,245,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 244
legal_articles_export.json,Seed,نظام المعاملات المدنية,245,المادة السادسة والأربعون بعد المائتين,246,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 245
legal_articles_export.json,Seed,نظام المعاملات المدنية,246,المادة السابعة والأربعون بعد المائتين,247,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 246
legal_articles_export.json,Seed,نظام المعاملات المدنية,247,المادة الثامنة والأربعون بعد المائتين,248,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 247
legal_articles_export.json,Seed,نظام المعاملات المدنية,248,المادة التاسعة والأربعون بعد المائتين,249,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 248
legal_articles_export.json,Seed,نظام المعاملات المدنية,249,المادة الخمسون بعد المائتين,250,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 249
