hakeem_article_number,production_title,number_parsed_from_title,production_article_id,seed_number_parsed_from_title,present_in_seed,bm25_code,normalized_text_sha256_16,text_excerpt,issue,severity,recommended_action
1,المادة الأولى,1,cmpwic04s0209nxffi0xm2lt1,1,نعم,a1261,d91b4610a2c06d45,تُطبق نصوص هذا النظام على جميع المسائل التي تناولتها في لفظها أو في فحواها، فإن لم يوجد نص يمكن تطبيقه طُبقت القواعد الك,مطابق,—,لا إجراء
2,المادة الثانية,2,cmpwic0gm020bnxffhqsmyo67,2,نعم,a1262,740a5c1399e87cd2,تحسب المدد والمواعيد الواردة في هذا النظام بالتقويم الهجري. الفصل الثاني: الأشخاص الفرع الأول: الشخص ذو الصفة الطبيعية,مطابق,—,لا إجراء
3,المادة الثالثة,3,cmpwic0si020dnxffsa4id80w,3,نعم,a1263,46673e0ff1d7b38f,تبدأ شخصية الإنسان بتمام ولادته حيًّا وتنتهي بموته. حقوق الحمل المستكن تحددها النصوص النظامية.,مطابق,—,لا إجراء
4,المادة الرابعة,4,cmpwic14c020fnxffaxtls50m,4,نعم,a1264,62a43ac15f46c6b1,تسري على المفقود والغائب ومجهول النسب النصوص النظامية الخاصة بهم.,مطابق,—,لا إجراء
5,المادة الخامسة,5,cmpwic1g7020hnxffubcz426r,5,نعم,a1265,574b40ea7ffaca86,تسري على أسماء الأشخاص وألقابهم وأسرهم وقراباتهم وجنسياتهم النصوص النظامية الخاصة بها.,مطابق,—,لا إجراء
6,المادة السادسة,6,cmpwic1s1020jnxffx8hnz1ly,6,نعم,a1266,366a98edd9cf8de0,القرابة المباشرة هي الصلة بين الأصول والفروع. القرابة غير المباشرة هي الرابطة بين أشخاصٍ يجمعهم أصلٌ مشتركٌ دون أن يكون ,مطابق,—,لا إجراء
7,المادة السابعة,7,cmpwic23v020lnxffa2kcofsu,7,نعم,a1267,e0485fb1ababfdfd,تتحدد درجة القرابة المباشرة باعتبار كل فرعٍ درجةً عند الصعود للأصل دون حساب الأصل، وتتحدد درجة القرابة غير المباشرة بعدد,مطابق,—,لا إجراء
8,المادة الثامنة,8,cmpwic2fp020nnxfffjkyao93,8,نعم,a1268,8f26319cd476f660,الموطن هو المكان الذي يقيم فيه الشخص عادةً. ويجوز أن يكون للشخص في وقتٍ واحدٍ أكثرُ من موطن، وإذا لم يكن له مكانٌ يقيم ف,مطابق,—,لا إجراء
9,المادة التاسعة,9,cmpwic2rj020pnxff8heefjas,9,نعم,a1269,5fb2a73d12454b54,يعدُّ المكان الذي يباشر فيه الشخص تجارةً أو مهنةً موطنًا له فيما يتعلق بإدارة أعمال هذه التجارة أو المهنة.,مطابق,—,لا إجراء
10,المادة العاشرة,10,cmpwic33m020rnxffmdygfmjx,10,نعم,a1270,99e995c416331695,موطن عديم الأهلية أو ناقصها أو المفقود أو الغائب هو موطن من ينوب عنه نظامًا، ويجوز أن يكون لناقص الأهلية موطنٌ خاصٌّ فيم,مطابق,—,لا إجراء
