system_name,hakeem_cited_number,actual_official_number_of_served_text,defect_kind,impact_statement,classification,required_action
نظام المعاملات المدنية,237,238,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (237)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 238,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,238,239,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (238)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 239,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,239,240,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (239)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 240,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,240,241,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (240)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 241,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,241,242,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (241)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 242,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,242,243,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (242)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 243,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,243,244,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (243)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 244,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,244,245,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (244)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 245,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,245,246,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (245)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 246,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,246,247,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (246)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 247,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,247,248,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (247)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 248,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,248,249,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (248)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 249,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,249,250,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (249)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 250,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,250,251,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (250)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 251,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,251,252,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (251)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 252,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,252,253,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (252)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 253,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,253,254,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (253)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 254,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,254,255,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (254)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 255,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,255,256,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (255)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 256,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,256,257,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (256)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 257,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,257,258,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (257)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 258,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,258,259,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (258)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 259,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,259,260,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (259)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 260,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,260,261,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (260)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 261,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,261,262,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (261)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 262,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,262,263,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (262)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 263,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,263,264,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (263)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 264,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,264,265,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (264)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 265,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,265,266,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (265)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 266,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,266,267,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (266)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 267,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,267,268,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (267)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 268,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,268,269,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (268)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 269,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,269,270,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (269)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 270,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,270,271,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (270)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 271,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,271,272,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (271)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 272,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,272,273,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (272)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 273,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,273,274,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (273)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 274,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,274,275,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (274)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 275,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,275,276,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (275)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 276,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,276,277,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (276)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 277,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,277,278,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (277)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 278,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,278,279,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (278)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 279,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,279,280,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (279)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 280,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,280,281,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (280)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 281,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,281,282,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (281)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 282,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,282,283,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (282)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 283,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,283,284,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (283)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 284,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,284,285,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (284)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 285,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,285,286,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (285)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 286,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,286,287,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (286)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 287,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,287,288,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (287)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 288,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,288,289,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (288)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 289,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,289,290,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (289)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 290,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,290,291,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (290)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 291,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,291,292,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (291)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 292,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,292,293,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (292)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 293,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,293,294,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (293)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 294,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,294,295,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (294)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 295,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,295,296,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (295)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 296,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,296,297,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (296)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 297,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,297,298,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (297)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 298,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,298,299,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (298)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 299,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,299,300,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (299)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 300,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,300,301,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (300)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 301,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,301,302,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (301)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 302,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,302,303,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (302)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 303,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,303,304,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (303)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 304,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,304,305,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (304)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 305,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,305,306,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (305)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 306,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,306,307,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (306)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 307,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,307,308,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (307)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 308,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,308,309,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (308)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 309,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,309,310,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (309)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 310,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,310,311,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (310)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 311,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
